policy,seed,total_served,total_reneged,avg_wait_time,throughput,renege_rate,served_general,reneged_general,renege_rate_general,served_fan,reneged_fan,renege_rate_fan,served_vip,reneged_vip,renege_rate_vip,served_coachella_stage,reneged_coachella_stage,avg_wait_coachella_stage,served_sahara,reneged_sahara,avg_wait_sahara,served_outdoor_theatre,reneged_outdoor_theatre,avg_wait_outdoor_theatre,served_mojave,reneged_mojave,avg_wait_mojave,served_gobi,reneged_gobi,avg_wait_gobi,served_sonora,reneged_sonora,avg_wait_sonora,served_do_lab,reneged_do_lab,avg_wait_do_lab,served_yuma,reneged_yuma,avg_wait_yuma
Baseline,119,5397,8,0.3215,674.625,0.0015,3406,2,0.0005868544600938967,941,0,0.0,525,6,0.011299435028248588,2218,8,0.78,1024,0,0.0,605,0,0.0,496,0,0.0,364,0,0.0,254,0,0.01,254,0,0.0,182,0,0.0
Baseline,120,5470,17,0.3579,683.75,0.0031,3474,3,0.0008628127696289905,980,4,0.0040650406504065045,517,10,0.018975332068311195,2243,17,0.87,1045,0,0.0,625,0,0.0,470,0,0.0,353,0,0.0,251,0,0.0,293,0,0.0,190,0,0.0
Baseline,121,5612,25,0.4783,701.5,0.0044,3628,5,0.0013762730525736307,968,3,0.003089598352214212,503,17,0.032692307692307694,2412,25,1.11,1008,0,0.0,595,0,0.0,513,0,0.0,325,0,0.0,254,0,0.0,287,0,0.0,218,0,0.0
Baseline,122,5486,22,0.3944,685.75,0.004,3547,6,0.0016887137630171687,932,2,0.0021413276231263384,498,14,0.02734375,2266,22,0.95,1036,0,0.0,627,0,0.0,479,0,0.0,343,0,0.0,246,0,0.0,281,0,0.0,208,0,0.0
Baseline,123,5474,15,0.3345,684.25,0.0027,3522,7,0.0019835647492207425,902,1,0.0011074197120708748,538,7,0.012844036697247707,2239,15,0.82,1036,0,0.0,578,0,0.0,493,0,0.0,338,0,0.0,285,0,0.0,284,0,0.0,221,0,0.0
Baseline,124,5195,6,0.2533,649.375,0.0012,3337,0,0.0,861,0,0.0,484,6,0.012244897959183673,2074,6,0.63,1007,0,0.0,515,0,0.0,478,0,0.0,337,0,0.0,293,0,0.0,307,0,0.0,184,0,0.0
Baseline,125,5699,25,0.4769,712.375,0.0044,3701,12,0.0032318879612173446,953,2,0.0020942408376963353,530,11,0.02033271719038817,2365,25,1.15,1038,0,0.0,644,0,0.0,559,0,0.0,319,0,0.0,258,0,0.0,311,0,0.0,205,0,0.0
Baseline,126,5318,14,0.3652,664.75,0.0026,3415,2,0.000585308750365818,924,1,0.001081081081081081,470,11,0.02286902286902287,2176,14,0.89,1026,0,0.0,557,0,0.0,470,0,0.0,318,0,0.0,246,0,0.0,320,0,0.0,205,0,0.0
Baseline,127,5598,23,0.4492,699.75,0.0041,3630,4,0.001100715465052284,913,1,0.0010940919037199124,538,18,0.03237410071942446,2372,23,1.0,1000,0,0.0,611,0,0.0,488,0,0.0,360,0,0.0,313,0,0.43,283,0,0.0,171,0,0.0
Baseline,128,5533,25,0.4755,691.625,0.0045,3578,9,0.002509060496236409,979,0,0.0,472,16,0.03278688524590164,2289,25,1.14,1018,0,0.0,579,0,0.0,512,0,0.0,338,0,0.0,286,0,0.05,315,0,0.0,196,0,0.0
Baseline,129,5253,14,0.406,656.625,0.0027,3347,5,0.0014916467780429594,865,1,0.0011547344110854503,517,8,0.015238095238095238,2094,14,0.91,1013,0,0.0,538,0,0.0,486,0,0.0,350,0,0.0,292,0,0.8,295,0,0.01,185,0,0.0
Informative App,100,5191,2,0.1319,648.875,0.0004,3338,1,0.0002994908655286014,869,1,0.0011494252873563218,481,0,0.0,2151,2,0.32,954,0,0.0,528,0,0.0,511,0,0.0,334,0,0.0,249,0,0.0,271,0,0.0,193,0,0.0
Informative App,101,5366,0,0.0265,670.75,0.0,3443,0,0.0,918,0,0.0,480,0,0.0,2207,0,0.06,1013,0,0.0,558,0,0.0,506,0,0.0,336,0,0.0,271,0,0.0,266,0,0.0,209,0,0.0
Informative App,102,5254,0,0.0069,656.75,0.0,3392,0,0.0,874,0,0.0,469,0,0.0,2145,0,0.02,1030,0,0.0,579,0,0.0,483,0,0.0,330,0,0.0,238,0,0.0,240,0,0.0,209,0,0.0
Informative App,103,5331,0,0.0008,666.375,0.0,3454,0,0.0,886,0,0.0,479,0,0.0,2178,0,0.0,1035,0,0.0,583,0,0.0,476,0,0.0,332,0,0.0,243,0,0.0,264,0,0.0,220,0,0.0
Informative App,104,5147,0,0.0,643.375,0.0,3321,0,0.0,854,0,0.0,488,0,0.0,2121,0,0.0,949,0,0.0,563,0,0.0,450,0,0.0,339,0,0.0,250,0,0.0,271,0,0.0,204,0,0.0
