policy_a,policy_b,statistic,p_value,significant,effect_size
Baseline,Informative App,822.5,0.0,True,0.7301
Baseline,Active Management,825.0,0.0,True,0.7359
Informative App,VIP Priority,0.5,0.0,True,0.872
Active Management,VIP Priority,0.0,0.0,True,0.8737
Baseline,VIP Priority,208.0,0.000341,True,0.4624
Informative App,Active Management,456.0,0.924068,False,0.0123
