policy_a,policy_b,statistic,p_value,significant,effect_size
Baseline,Informative App,900.0,0.0,True,0.858
Baseline,Active Management,900.0,0.0,True,0.858
Baseline,VIP Priority,900.0,0.0,True,0.858
Informative App,Active Management,446.0,0.958714,False,0.0067
Informative App,VIP Priority,451.5,0.988201,False,0.0019
Active Management,VIP Priority,451.5,0.988201,False,0.0019
